,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
206,Blue Is the Warmest Colour,2013,7.7,88.0,133814,2.2,180
207,The Pianist,2002,8.5,85.0,699997,32.57,150
208,Skyfall,2012,7.7,81.0,617012,304.36,143
209,Fargo,1996,8.1,85.0,595598,24.61,98
210,Howl's Moving Castle,2004,8.2,80.0,312634,4.71,119
211,Sin City,2005,8.0,74.0,730991,74.1,124
212,Donnie Darko,2001,8.0,88.0,724078,1.48,113
213,Coco,2017,8.4,81.0,343485,209.73,105
214,Children of Men,2006,7.9,84.0,451599,35.55,109
215,About Time,2013,7.8,55.0,286606,15.32,123
216,The Sound of Music,1965,8.0,63.0,196864,163.21,172
217,Once Upon a Time in America,1984,8.4,,298709,5.32,229
218,True Grit,2010,7.6,80.0,301809,171.24,110
219,Finding Nemo,2003,8.1,90.0,920760,380.84,100
220,Superbad,2007,7.6,76.0,507701,121.46,113
221,Hidden Figures,2016,7.8,74.0,190464,169.61,127
222,Captain America: The Winter Soldier,2014,7.7,70.0,713236,259.77,136
223,Predator,1987,7.8,45.0,361935,59.74,107
224,X-Men: Days of Future Past,2014,8.0,75.0,646614,233.92,132
225,Midnight in Paris,2011,7.7,81.0,375579,56.82,94
226,Indiana Jones and the Temple of Doom,1984,7.6,57.0,433678,179.87,118
227,Life Is Beautiful,1997,8.6,59.0,599285,57.6,116
228,Brazil,1985,7.9,84.0,183104,9.93,132
229,Atonement,2007,7.8,85.0,241145,50.93,123
230,12 Monkeys,1995,8.0,74.0,564665,57.14,129
231,Silver Linings Playbook,2012,7.7,81.0,647202,132.09,122
232,Hot Fuzz,2007,7.8,81.0,449399,23.64,121
233,The Wizard of Oz,1939,8.0,100.0,364606,2.08,102
234,Moneyball,2011,7.6,87.0,349597,75.61,133
235,The Thing,1982,8.1,57.0,355996,13.78,109
236,A Few Good Men,1992,7.7,62.0,226978,141.34,138
237,Pan's Labyrinth,2006,8.2,98.0,602414,37.63,118
238,Wind River,2017,7.7,73.0,192336,33.8,107
239,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,560732,42.34,119
240,Dances with Wolves,1990,8.0,72.0,233133,184.21,181
241,Casablanca,1942,8.5,100.0,505342,1.02,102
