,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
934,Ace in the Hole,1951,8.1,72.0,30013,3.97,111
935,The Purple Rose of Cairo,1985,7.7,75.0,45705,10.63,82
936,Jules and Jim,1962,7.8,,36156,,105
937,Barfi!,2012,8.1,,73098,2.8,151
938,Cell 211,2009,7.6,,62494,,113
939,Vicky Donor,2012,7.8,,38227,0.17,126
940,The Chorus,2004,7.9,56.0,55727,3.64,97
941,Harvey,1950,7.9,,51612,,104
942,After the Wedding,2006,7.7,78.0,30976,0.41,120
943,The Lost Weekend,1945,7.9,,32448,9.46,101
944,Il Postino,1994,7.7,81.0,32507,21.85,108
945,The Triplets of Belleville,2003,7.8,91.0,49688,7.0,80
946,Vivre Sa Vie,1962,8.0,,26157,,85
947,Fireworks,1997,7.8,,26639,0.23,103
948,Dev.D,2009,8.0,,27817,0.01,144
949,Chak de! India,2007,8.2,68.0,71196,1.11,153
950,Tokyo Godfathers,2003,7.8,73.0,29271,0.13,92
951,Baby,2015,8.0,,51161,,159
952,Battleship Potemkin,1925,8.0,,51291,0.05,66
953,Departures,2008,8.1,68.0,47267,1.5,130
954,Zelig,1983,7.7,,38889,11.8,79
955,No Man's Land,2001,7.9,84.0,43694,1.06,98
956,Miracle on 34th Street,1947,7.9,88.0,38850,2.65,96
957,Veer-Zaara,2004,7.8,67.0,47397,2.92,192
958,Sherlock Jr.,1924,8.2,,38725,0.98,45
959,Evil,2003,7.8,61.0,34887,0.02,113
960,Jab We Met,2007,7.9,,45678,0.41,138
961,La Grande Illusion,1937,8.1,,32930,0.17,113
962,Hiroshima Mon Amour,1959,7.9,,27030,0.09,90
963,Tae Guk Gi: The Brotherhood of War,2004,8.1,64.0,37120,1.11,140
964,Black,2005,8.2,,32569,0.73,122
965,Love and Death,1975,7.7,89.0,34901,,85
966,C.R.A.Z.Y.,2005,7.9,81.0,31055,,127
967,Special 26,2013,8.0,,48809,1.08,144
968,Kind Hearts and Coronets,1949,8.0,,33512,,106
969,The Ladykillers,1955,7.7,91.0,25390,,91
970,Elite Squad 2: The Enemy Within,2010,8.0,71.0,77749,0.1,115
971,Andaz Apna Apna,1994,8.2,,47824,,160
972,The Visitor,2007,7.6,79.0,41001,9.42,104
973,The Secret of Kells,2009,7.6,81.0,30120,0.69,75
974,The Killer,1989,7.8,82.0,44708,,111
975,Lifeboat,1944,7.6,78.0,25608,,97
976,The Virgin Spring,1960,8.1,,25558,1.53,89
977,G.O.R.A.,2004,8.0,,54543,,127
978,Sanjuro,1962,8.1,,30793,,96
979,Adam's Apples,2005,7.8,51.0,44138,0.0,94
980,Joint Security Area,2000,7.8,58.0,25260,,110
981,The Rules of the Game,1939,8.0,,25815,,110
982,Central Station,1998,8.0,80.0,34982,5.6,110
983,The Shop Around the Corner,1940,8.1,96.0,26445,0.2,99
984,Drishyam,2013,8.4,,29277,,160
985,Joyeux Noel,2005,7.7,70.0,26972,1.05,116
986,OMG: Oh My God!,2012,8.1,,48819,0.92,125
987,Nine Queens,2000,7.9,80.0,48351,1.22,114
988,Knockin' on Heaven's Door,1997,8.0,,26745,0.0,87
989,Vampire Hunter D: Bloodlust,2000,7.7,62.0,28292,0.15,103
990,English Vinglish,2012,7.8,,32300,1.67,134
991,Le Dîner de Cons,1998,7.7,73.0,36329,4.07,80
992,A Night at the Opera,1935,7.9,,29770,,96
993,The Edge of Heaven,2007,7.8,85.0,30096,0.74,122
994,"Carry On, Munna Bhai",2006,8.1,,41354,2.22,144
995,The Muppet Christmas Carol,1992,7.7,64.0,46113,27.28,85
996,Boy A,2007,7.6,75.0,36304,0.11,102
997,And Now for Something Completely Different,1971,7.6,,28253,,88
998,Vizontele,2001,8.0,,31878,,110
999,The Breath,2009,8.0,,31011,,128
